title,runtimegenre(s),directors,writer(s),actor(s),rating(s),number of rating(s)
Oldeuboi,2h,Drama; Action; Mystery,Chan-wook Park,Garon Tsuchiya; Nobuaki Minegishi,Min-sik Choi; Ji-tae Yu; Hye-jeong Kang,8.4,"438,973"
3 Idiots,2h 50min,Drama; Comedy,Rajkumar Hirani,Rajkumar Hirani; Abhijat Joshi,Aamir Khan; Madhavan; Mona Singh,8.4,"284,469"
Sanjuro,1h 36min,Drama; Action; Crime,Akira Kurosawa,Ryûzô Kikushima; Hideo Oguni,Toshirô Mifune; Tatsuya Nakadai; Keiju Kobayashi,8.2,"25,479"
Das Leben der Anderen,2h 17min,Drama; Thriller,Florian Henckel von Donnersmarck,Florian Henckel von Donnersmarck,Ulrich Mühe; Martina Gedeck; Sebastian Koch,8.4,"310,414"
Salinui chueok,2h 11min,Drama; Action; Crime,Joon-ho Bong,Joon-ho Bong; Kwang-rim Kim,Kang-ho Song; Sang-kyung Kim; Roe-ha Kim,8.1,"94,484"
Le salaire de la peur,2h 11min,Drama; Adventure; Thriller,Henri-Georges Clouzot,Georges Arnaud; Henri-Georges Clouzot,Yves Montand; Charles Vanel; Peter van Eyck,8.1,"46,381"
Whiplash,1h 46min,Drama; Music,Damien Chazelle,Damien Chazelle,Miles Teller; J.K. Simmons; Melissa Benoist,8.5,"577,346"
Barry Lyndon,3h 5min,Drama; Adventure; History,Stanley Kubrick,Stanley Kubrick; William Makepeace Thackeray,Ryan O'Neal; Marisa Berenson; Patrick Magee,8.1,"126,789"
Kimi no na wa.,1h 46min,Fantasy; Drama; Animation,Makoto Shinkai,Makoto Shinkai; Makoto Shinkai,Ryûnosuke Kamiki; Mone Kamishiraishi; Ryô Narita,8.4,"112,116"
Up,1h 36min,Adventure; Comedy; Animation,Pete Docter; Bob Peterson,Pete Docter; Bob Peterson,Edward Asner; Jordan Nagai; John Ratzenberger,8.3,"809,062"
Casino,2h 58min,Drama; Crime,Martin Scorsese,Nicholas Pileggi; Nicholas Pileggi,Robert De Niro; Sharon Stone; Joe Pesci,8.2,"399,141"
Million Dollar Baby,2h 12min,Sport; Drama,Clint Eastwood,Paul Haggis; F.X. Toole,Hilary Swank; Clint Eastwood; Morgan Freeman,8.1,"568,648"
Jurassic Park,2h 7min,Sci-Fi; Adventure; Thriller,Steven Spielberg,Michael Crichton; Michael Crichton,Sam Neill; Laura Dern; Jeff Goldblum,8.1,"751,509"
Unforgiven,2h 10min,Drama; Western,Clint Eastwood,David Webb Peoples,Clint Eastwood; Gene Hackman; Morgan Freeman,8.2,"328,764"
Paths of Glory,1h 28min,War; Drama,Stanley Kubrick,Stanley Kubrick; Calder Willingham,Kirk Douglas; Ralph Meeker; Adolphe Menjou,8.4,"148,920"
The Sting,2h 9min,Crime; Drama; Comedy,George Roy Hill,David S. Ward,Paul Newman; Robert Redford; Robert Shaw,8.3,"211,173"
Sherlock Jr.,45min,Action; Comedy; Romance,Buster Keaton,Jean C. Havez; Joseph A. Mitchell,Buster Keaton; Kathryn McGuire; Joe Keaton,8.2,"30,009"
Les quatre cents coups,1h 39min,Drama; Crime,François Truffaut,François Truffaut; Marcel Moussy,Jean-Pierre Léaud; Albert Rémy; Claire Maurier,8.1,"88,643"
The Lord of the Rings: The Return of the King,3h 21min,Drama; Action; Adventure,Peter Jackson,J.R.R. Tolkien; Fran Walsh,Elijah Wood; Viggo Mortensen; Ian McKellen,8.9,"1,432,523"
Se7en,2h 7min,Drama; Crime; Mystery,David Fincher,Andrew Kevin Walker,Morgan Freeman; Brad Pitt; Kevin Spacey,8.6,"1,230,014"
Metropolis,2h 33min,Drama; Sci-Fi,Fritz Lang,Thea von Harbou; Thea von Harbou,Brigitte Helm; Alfred Abel; Gustav Fröhlich,8.3,"137,158"
Cool Hand Luke,2h 6min,Drama; Crime,Stuart Rosenberg,Donn Pearce; Frank Pierson,Paul Newman; George Kennedy; Strother Martin,8.1,"142,938"
Mary and Max,1h 32min,Drama; Comedy; Animation,Adam Elliot,Adam Elliot,Toni Collette; Philip Seymour Hoffman; Eric Bana,8.1,"145,915"
L.A. Confidential,2h 18min,Drama; Crime; Mystery,Curtis Hanson,James Ellroy; Brian Helgeland,Kevin Spacey; Russell Crowe; Guy Pearce,8.3,"478,832"
Indiana Jones and the Raiders of the Lost Ark,1h 55min,Action; Adventure,Steven Spielberg,Lawrence Kasdan; George Lucas,Harrison Ford; Karen Allen; Paul Freeman,8.5,"779,024"
Dial M for Murder,1h 45min,Crime; Thriller,Alfred Hitchcock,Frederick Knott; Frederick Knott,Ray Milland; Grace Kelly; Robert Cummings,8.2,"134,856"
Idi i smotri,2h 22min,War; Drama,Elem Klimov,Ales Adamovich; Ales Adamovich,Aleksey Kravchenko; Olga Mironova; Liubomiras Laucevicius,8.2,"40,325"
The Grand Budapest Hotel,1h 39min,Drama; Adventure; Comedy,Wes Anderson,Stefan Zweig; Wes Anderson,Ralph Fiennes; F. Murray Abraham; Mathieu Amalric,8.1,"606,549"
Rear Window,1h 52min,Thriller; Mystery,Alfred Hitchcock,John Michael Hayes; Cornell Woolrich,James Stewart; Grace Kelly; Wendell Corey,8.5,"382,287"
La La Land,2h 8min,Drama; Music; Comedy,Damien Chazelle,Damien Chazelle,Ryan Gosling; Emma Stone; Rosemarie DeWitt,8.1,"400,722"
The Bourne Ultimatum,1h 55min,Action; Thriller; Mystery,Paul Greengrass,Tony Gilroy; Scott Z. Burns,Matt Damon; Edgar Ramírez; Joan Allen,8.0,"570,114"
De dictator,2h 5min,War; Drama; Comedy,Charles Chaplin,Charles Chaplin,Charles Chaplin; Paulette Goddard; Jack Oakie,8.5,"172,132"
Toy Story,1h 21min,Adventure; Comedy; Animation,John Lasseter,John Lasseter; Pete Docter,Tom Hanks; Tim Allen; Don Rickles,8.3,"757,080"
Star Wars: Episode VI - Return of the Jedi,2h 11min,Fantasy; Action; Adventure,Richard Marquand,Lawrence Kasdan; George Lucas,Mark Hamill; Harrison Ford; Carrie Fisher,8.3,"829,575"
Det sjunde inseglet,1h 36min,Fantasy; Drama,Ingmar Bergman,Ingmar Bergman; Ingmar Bergman,Max von Sydow; Gunnar Björnstrand; Bengt Ekerot,8.2,"137,359"
Inglourious Basterds,2h 33min,War; Drama; Adventure,Quentin Tarantino; Eli Roth,Quentin Tarantino,Brad Pitt; Diane Kruger; Eli Roth,8.3,"1,072,552"
"Monsters, Inc.",1h 32min,Adventure; Comedy; Animation,Pete Docter; David Silverman,Pete Docter; Jill Culton,Billy Crystal; John Goodman; Mary Gibbs,8.1,"708,703"
Hachi: A Dog's Tale,1h 33min,Drama; Family,Lasse Hallström,Stephen P. Lindsey; Kaneto Shindô,Richard Gere; Joan Allen; Cary-Hiroyuki Tagawa,8.1,"212,460"
Casablanca,1h 42min,War; Drama; Romance,Michael Curtiz,Julius J. Epstein; Philip G. Epstein,Humphrey Bogart; Ingrid Bergman; Paul Henreid,8.5,"458,628"
Memento,1h 53min,Thriller; Mystery,Christopher Nolan,Christopher Nolan; Jonathan Nolan,Guy Pearce; Carrie-Anne Moss; Joe Pantoliano,8.5,"997,576"
Gangs of Wasseypur,5h 21min,Crime; Action; Comedy,Anurag Kashyap,Akhilesh Jaiswal; Anurag Kashyap,Manoj Bajpayee; Richa Chadha; Nawazuddin Siddiqui,8.2,"65,416"
Jaws,2h 4min,Drama; Adventure; Thriller,Steven Spielberg,Peter Benchley; Carl Gottlieb,Roy Scheider; Robert Shaw; Richard Dreyfuss,8.0,"493,226"
Hoe tem je een draak,1h 38min,Action; Adventure; Animation,Dean DeBlois; Chris Sanders,William Davies; Dean DeBlois,Jay Baruchel; Gerard Butler; Christopher Mintz-Plasse,8.1,"583,240"
Amadeus,2h 40min,Drama; History; Biography,Milos Forman,Peter Shaffer; Peter Shaffer,F. Murray Abraham; Tom Hulce; Elizabeth Berridge,8.3,"324,325"
Inside Out,1h 35min,Adventure; Comedy; Animation,Pete Docter; Ronnie Del Carmen,Pete Docter; Ronnie Del Carmen,Amy Poehler; Bill Hader; Lewis Black,8.2,"504,436"
El secreto de sus ojos,2h 9min,Drama; Romance; Mystery,Juan José Campanella,Eduardo Sacheri; Juan José Campanella,Ricardo Darín; Soledad Villamil; Pablo Rago,8.2,"166,034"
Le notti di Cabiria,1h 50min,Drama,Federico Fellini,Federico Fellini; Ennio Flaiano,Giulietta Masina; François Périer; Franca Marzi,8.1,"37,093"
Gandhi,3h 11min,Drama; History; Biography,Richard Attenborough,John Briley,Ben Kingsley; John Gielgud; Rohini Hattangadi,8.1,"201,899"
The Lord of the Rings: The Fellowship of the Ring,2h 58min,Fantasy; Drama; Adventure,Peter Jackson,J.R.R. Tolkien; Fran Walsh,Elijah Wood; Ian McKellen; Orlando Bloom,8.8,"1,449,193"
Fargo,1h 38min,Drama; Crime; Thriller,Joel Coen; Ethan Coen,Ethan Coen; Joel Coen,William H. Macy; Frances McDormand; Steve Buscemi,8.1,"541,746"
The Thing,1h 49min,Sci-Fi; Horror; Mystery,John Carpenter,Bill Lancaster; John W. Campbell Jr.,Kurt Russell; Wilford Brimley; Keith David,8.1,"317,785"
"Il buono, il brutto, il cattivo",2h 41min,Western,Sergio Leone,Luciano Vincenzoni; Sergio Leone,Clint Eastwood; Eli Wallach; Lee Van Cleef,8.9,"596,424"
Batman Begins,2h 20min,Action; Adventure; Thriller,Christopher Nolan,Bob Kane; David S. Goyer,Christian Bale; Michael Caine; Ken Watanabe,8.3,"1,151,243"
La haine,1h 38min,Drama; Crime,Mathieu Kassovitz,Mathieu Kassovitz,Vincent Cassel; Hubert Koundé; Saïd Taghmaoui,8.1,"127,542"
Django Unchained,2h 45min,Drama; Western,Quentin Tarantino,Quentin Tarantino,Jamie Foxx; Christoph Waltz; Leonardo DiCaprio,8.4,"1,160,210"
Requiem for a Dream,1h 42min,Drama,Darren Aronofsky,Hubert Selby Jr.; Hubert Selby Jr.,Ellen Burstyn; Jared Leto; Jennifer Connelly,8.3,"676,718"
A Beautiful Mind,2h 15min,Drama; Biography,Ron Howard,Akiva Goldsman; Sylvia Nasar,Russell Crowe; Ed Harris; Jennifer Connelly,8.2,"741,217"
Sunrise: A Song of Two Humans,1h 34min,Drama; Romance,F.W. Murnau,Carl Mayer; Hermann Sudermann,George O'Brien; Janet Gaynor; Margaret Livingston,8.2,"41,161"
Gone with the Wind,3h 58min,Drama; History; Romance,Victor Fleming; George Cukor,Margaret Mitchell; Sidney Howard,Clark Gable; Vivien Leigh; Thomas Mitchell,8.2,"255,544"
Mononoke-hime,2h 14min,Fantasy; Adventure; Animation,Hayao Miyazaki,Hayao Miyazaki; Neil Gaiman,Yôji Matsuda; Yuriko Ishida; Yûko Tanaka,8.4,"280,732"
Schindler's List,3h 15min,Drama; History; Biography,Steven Spielberg,Thomas Keneally; Steven Zaillian,Liam Neeson; Ralph Fiennes; Ben Kingsley,8.9,"1,038,740"
Raging Bull,2h 9min,Sport; Drama; Biography,Martin Scorsese,Jake LaMotta; Joseph Carter,Robert De Niro; Cathy Moriarty; Joe Pesci,8.2,"277,727"
Braveheart,2h 58min,Drama; History; Biography,Mel Gibson,Randall Wallace,Mel Gibson; Sophie Marceau; Patrick McGoohan,8.4,"864,654"
Heat,2h 50min,Drama; Crime; Thriller,Michael Mann,Michael Mann,Al Pacino; Robert De Niro; Val Kilmer,8.2,"506,714"
Inception,2h 28min,Action; Sci-Fi; Adventure,Christopher Nolan,Christopher Nolan,Leonardo DiCaprio; Joseph Gordon-Levitt; Ellen Page,8.8,"1,761,048"
Jagten,1h 55min,Drama,Thomas Vinterberg,Tobias Lindholm; Thomas Vinterberg,Mads Mikkelsen; Thomas Bo Larsen; Annika Wedderkopp,8.3,"228,764"
Relatos salvajes,2h 2min,Drama; Comedy; Thriller,Damián Szifron,Germán Servidio; Damián Szifron,Darío Grandinetti; María Marull; Mónica Villa,8.1,"141,630"
Platoon,2h,War; Drama,Oliver Stone,Oliver Stone,Charlie Sheen; Tom Berenger; Willem Dafoe,8.1,"341,175"
No Country for Old Men,2h 2min,Drama; Crime; Thriller,Ethan Coen; Joel Coen,Joel Coen; Ethan Coen,Tommy Lee Jones; Javier Bardem; Josh Brolin,8.1,"736,686"
Persona,1h 25min,Drama; Thriller,Ingmar Bergman,Ingmar Bergman,Bibi Andersson; Liv Ullmann; Margaretha Krook,8.1,"82,386"
The Grapes of Wrath,2h 9min,Drama; History,John Ford,Nunnally Johnson; John Steinbeck,Henry Fonda; Jane Darwell; John Carradine,8.1,"78,419"
The Elephant Man,2h 4min,Drama; Biography,David Lynch,Christopher De Vore; Eric Bergren,Anthony Hopkins; John Hurt; Anne Bancroft,8.2,"193,784"
Gladiator,2h 35min,Drama; Action; Adventure,Ridley Scott,David Franzoni; David Franzoni,Russell Crowe; Joaquin Phoenix; Connie Nielsen,8.5,"1,163,108"
Bacheha-Ye aseman,1h 29min,Drama; Family,Majid Majidi,Majid Majidi,Mohammad Amir Naji; Amir Farrokh Hashemian; Bahare Seddiqi,8.3,"47,628"
Kaze no tani no Naushika,1h 57min,Fantasy; Adventure; Animation,Hayao Miyazaki,Hayao Miyazaki; Hayao Miyazaki,Sumi Shimamoto; Mahito Tsujimura; Hisako Kyôda,8.1,"122,797"
Ladri di biciclette,1h 29min,Drama,Vittorio De Sica,Cesare Zavattini; Luigi Bartolini,Lamberto Maggiorani; Enzo Staiola; Lianella Carell,8.3,"120,247"
Ben Hur,3h 32min,Drama; Adventure; History,William Wyler,Lew Wallace; Karl Tunberg,Charlton Heston; Jack Hawkins; Stephen Boyd,8.1,"195,019"
Der Untergang,2h 36min,Drama; History; Biography,Oliver Hirschbiegel,Bernd Eichinger; Joachim Fest,Bruno Ganz; Alexandra Maria Lara; Ulrich Matthes,8.2,"294,381"
Lawrence of Arabia,3h 36min,Drama; Adventure; Biography,David Lean,T.E. Lawrence; Robert Bolt,Peter O'Toole; Alec Guinness; Anthony Quinn,8.3,"232,645"
De reis van Chihiro,2h 5min,Family; Adventure; Animation,Hayao Miyazaki; Kirk Wise,Hayao Miyazaki,Daveigh Chase; Suzanne Pleshette; Miyu Irino,8.6,"529,342"
Smultronstället,1h 31min,Drama; Romance,Ingmar Bergman,Ingmar Bergman,Victor Sjöström; Bibi Andersson; Ingrid Thulin,8.2,"80,141"
Trainspotting,1h 33min,Drama,Danny Boyle,Irvine Welsh; John Hodge,Ewan McGregor; Ewen Bremner; Jonny Lee Miller,8.2,"570,885"
The Deer Hunter,3h 3min,War; Drama,Michael Cimino,Michael Cimino; Deric Washburn,Robert De Niro; Christopher Walken; John Cazale,8.1,"275,531"
Rebecca,2h 10min,Drama; Romance; Mystery,Alfred Hitchcock,Daphne Du Maurier; Robert E. Sherwood,Laurence Olivier; Joan Fontaine; George Sanders,8.1,"106,997"
The Wolf of Wall Street,3h,Comedy; Biography; Crime,Martin Scorsese,Terence Winter; Jordan Belfort,Leonardo DiCaprio; Jonah Hill; Margot Robbie,8.2,"983,932"
Rashômon,1h 28min,Drama; Crime; Mystery,Akira Kurosawa,Ryûnosuke Akutagawa; Akira Kurosawa,Toshirô Mifune; Machiko Kyô; Masayuki Mori,8.3,"127,953"
Blade Runner,1h 57min,Sci-Fi; Thriller,Ridley Scott,Hampton Fancher; David Webb Peoples,Harrison Ford; Rutger Hauer; Sean Young,8.2,"604,077"
12 Years a Slave,2h 14min,Drama; History; Biography,Steve McQueen,John Ridley; Solomon Northup,Chiwetel Ejiofor; Michael Kenneth Williams; Michael Fassbender,8.1,"553,899"
Avengers: Infinity War,2h 29min,Fantasy; Action; Adventure,Anthony Russo; Joe Russo,Christopher Markus; Stephen McFeely,Robert Downey Jr.; Chris Hemsworth; Mark Ruffalo,8.6,"516,680"
Star Wars: Episode V - The Empire Strikes Back,2h 4min,Fantasy; Action; Adventure,Irvin Kershner,Leigh Brackett; Lawrence Kasdan,Mark Hamill; Harrison Ford; Carrie Fisher,8.8,"1,010,660"
Logan,2h 17min,Drama; Action; Sci-Fi,James Mangold,James Mangold; Scott Frank,Hugh Jackman; Patrick Stewart; Dafne Keen,8.1,"517,417"
Spotlight,2h 9min,Drama; History; Crime,Tom McCarthy,Josh Singer; Tom McCarthy,Mark Ruffalo; Michael Keaton; Rachel McAdams,8.1,"341,404"
Scarface,2h 50min,Drama; Crime,Brian De Palma,Oliver Stone,Al Pacino; Michelle Pfeiffer; Steven Bauer,8.3,"638,832"
