title,runtimegenre(s),directors,writer(s),actor(s),rating(s),number of rating(s)
Tenkû no shiro Rapyuta,2h 5min,Fantasy; Adventure; Animation,Hayao Miyazaki,Hayao Miyazaki,Anna Paquin; James Van Der Beek; Cloris Leachman,8.1,"121,682"
The Apartment,2h 5min,Drama; Comedy; Romance,Billy Wilder,Billy Wilder; I.A.L. Diamond,Jack Lemmon; Shirley MacLaine; Fred MacMurray,8.3,"136,601"
Ikiru,2h 23min,Drama,Akira Kurosawa,Akira Kurosawa; Shinobu Hashimoto,Takashi Shimura; Nobuo Kaneko; Shin'ichi Himori,8.3,"55,742"
Saving Private Ryan,2h 49min,War; Drama,Steven Spielberg,Robert Rodat,Tom Hanks; Matt Damon; Tom Sizemore,8.6,"1,060,601"
Die Hard,2h 12min,Action; Thriller,John McTiernan,Roderick Thorp; Jeb Stuart,Bruce Willis; Alan Rickman; Bonnie Bedelia,8.2,"693,712"
All About Eve,2h 18min,Drama,Joseph L. Mankiewicz,Joseph L. Mankiewicz,Bette Davis; Anne Baxter; George Sanders,8.3,"103,020"
Nuovo Cinema Paradiso,2h 35min,Drama,Giuseppe Tornatore,Giuseppe Tornatore; Giuseppe Tornatore,Philippe Noiret; Enzo Cannavale; Antonella Attili,8.5,"191,474"
Tôkyô monogatari,2h 16min,Drama,Yasujirô Ozu,Kôgo Noda; Yasujirô Ozu,Chishû Ryû; Chieko Higashiyama; Sô Yamamura,8.2,"40,909"
Star Wars: Episode IV - A New Hope,2h 1min,Fantasy; Action; Adventure,George Lucas,George Lucas,Mark Hamill; Harrison Ford; Carrie Fisher,8.6,"1,080,902"
Goodfellas,2h 26min,Drama; Crime,Martin Scorsese,Nicholas Pileggi; Nicholas Pileggi,Robert De Niro; Ray Liotta; Joe Pesci,8.7,"867,207"
Taare Zameen Par,2h 45min,Drama; Family,Aamir Khan; Amole Gupte,Amole Gupte; Amole Gupte,Darsheel Safary; Aamir Khan; Tisca Chopra,8.4,"131,326"
Prisoners,2h 33min,Drama; Crime; Mystery,Denis Villeneuve,Aaron Guzikowski,Hugh Jackman; Jake Gyllenhaal; Viola Davis,8.1,"502,301"
The Dark Knight Rises,2h 44min,Action; Thriller,Christopher Nolan,Jonathan Nolan; Christopher Nolan,Christian Bale; Tom Hardy; Anne Hathaway,8.4,"1,338,897"
Andrei Rublev,3h 25min,Drama; History; Biography,Andrei Tarkovsky,Andrey Konchalovskiy; Andrei Tarkovsky,Anatoliy Solonitsyn; Ivan Lapikov; Nikolay Grinko,8.2,"36,419"
Oordeel te Neurenberg,3h 6min,War; Drama,Stanley Kramer,Abby Mann; Abby Mann,Spencer Tracy; Burt Lancaster; Richard Widmark,8.2,"58,731"
"Three Billboards Outside Ebbing, Missouri",1h 55min,Crime; Drama; Comedy,Martin McDonagh,Martin McDonagh,Frances McDormand; Woody Harrelson; Sam Rockwell,8.2,"290,468"
Incendies,2h 11min,War; Drama; Mystery,Denis Villeneuve,Denis Villeneuve; Wajdi Mouawad,Lubna Azabal; Mélissa Désormeaux-Poulin; Maxim Gaudette,8.2,"116,082"
La passion de Jeanne d'Arc,1h 50min,Drama; History; Biography,Carl Theodor Dreyer,Joseph Delteil; Carl Theodor Dreyer,Maria Falconetti; Eugene Silvain; André Berley,8.2,"38,497"
Aliens,2h 17min,Action; Sci-Fi; Adventure,James Cameron,James Cameron; David Giler,Sigourney Weaver; Michael Biehn; Carrie Henn,8.4,"580,504"
Life of Brian,1h 34min,Comedy,Terry Jones,Graham Chapman; John Cleese,Graham Chapman; John Cleese; Michael Palin,8.1,"321,926"
Blade Runner 2049,2h 44min,Drama; Sci-Fi; Mystery,Denis Villeneuve,Hampton Fancher; Michael Green,Harrison Ford; Ryan Gosling; Ana de Armas,8.0,"341,168"
The Departed,2h 31min,Drama; Crime; Thriller,Martin Scorsese,William Monahan; Alan Mak,Leonardo DiCaprio; Matt Damon; Jack Nicholson,8.5,"1,034,610"
Bohemian Rhapsody,2h 14min,Drama; Music; Biography,Bryan Singer,Anthony McCarten; Peter Morgan,Rami Malek; Lucy Boynton; Gwilym Lee,8.4,"53,524"
Witness for the Prosecution,1h 56min,Drama; Crime; Mystery,Billy Wilder,Agatha Christie; Billy Wilder,Tyrone Power; Marlene Dietrich; Charles Laughton,8.4,"86,229"
Modern Times,1h 27min,Drama; Family; Comedy,Charles Chaplin,Charles Chaplin,Charles Chaplin; Paulette Goddard; Henry Bergman,8.5,"180,662"
The Lion King,1h 28min,Drama; Adventure; Animation,Roger Allers; Rob Minkoff,Irene Mecchi; Jonathan Roberts,Matthew Broderick; Jeremy Irons; James Earl Jones,8.5,"793,002"
The Godfather,2h 55min,Drama; Crime,Francis Ford Coppola,Mario Puzo; Francis Ford Coppola,Marlon Brando; Al Pacino; James Caan,9.2,"1,378,925"
Snatch,1h 44min,Crime; Comedy,Guy Ritchie,Guy Ritchie,Jason Statham; Brad Pitt; Benicio Del Toro,8.3,"696,376"
Network,2h 1min,Drama,Sidney Lumet,Paddy Chayefsky,Faye Dunaway; William Holden; Peter Finch,8.1,"126,403"
There Will Be Blood,2h 38min,Drama,Paul Thomas Anderson,Paul Thomas Anderson; Upton Sinclair,Daniel Day-Lewis; Paul Dano; Ciarán Hinds,8.1,"447,189"
The Princess Bride,1h 38min,Fantasy; Family; Adventure,Rob Reiner,William Goldman; William Goldman,Cary Elwes; Mandy Patinkin; Robin Wright,8.1,"345,813"
The Terminator,1h 47min,Action; Sci-Fi,James Cameron,James Cameron; Gale Anne Hurd,Arnold Schwarzenegger; Linda Hamilton; Michael Biehn,8.0,"703,844"
Once Upon a Time in America,3h 49min,Drama; Crime,Sergio Leone,Harry Grey; Leonardo Benvenuti,Robert De Niro; James Woods; Elizabeth McGovern,8.4,"265,678"
M - Eine Stadt sucht einen Mörder,1h 57min,Thriller; Crime; Mystery,Fritz Lang,Thea von Harbou; Fritz Lang,Peter Lorre; Ellen Widmann; Inge Landgut,8.3,"121,946"
Dangal,2h 41min,Drama; Action; Biography,Nitesh Tiwari,Piyush Gupta; Shreyas Jain,Aamir Khan; Sakshi Tanwar; Fatima Sana Shaikh,8.5,"107,692"
Psycho,1h 49min,Horror; Thriller; Mystery,Alfred Hitchcock,Joseph Stefano; Robert Bloch,Anthony Perkins; Janet Leigh; Vera Miles,8.5,"513,273"
Rush,2h 3min,Drama; Action; Biography,Ron Howard,Peter Morgan,Daniel Brühl; Chris Hemsworth; Olivia Wilde,8.1,"379,678"
The Maltese Falcon,1h 40min,Film-Noir; Mystery,John Huston,John Huston; Dashiell Hammett,Humphrey Bogart; Mary Astor; Gladys George,8.1,"136,310"
It's a Wonderful Life,2h 10min,Fantasy; Drama; Family,Frank Capra,Frances Goodrich; Albert Hackett,James Stewart; Donna Reed; Lionel Barrymore,8.6,"337,953"
