Country,Region,Arable (%),Agriculture
"Korea, North ",ASIA (EX. NEAR EAST)         ,20.76,0.3
"Korea, South ",ASIA (EX. NEAR EAST)         ,17.18,0.033
Kuwait ,NEAR EAST                          ,0.73,0.004
Kyrgyzstan ,C.W. OF IND. STATES ,7.3,0.353
Laos ,ASIA (EX. NEAR EAST)         ,3.8,0.455
Latvia ,BALTICS                            ,29.67,0.04
Lebanon ,NEAR EAST                          ,16.62,0.12
Lesotho ,SUB-SAHARAN AFRICA                 ,10.87,0.163
Liberia ,SUB-SAHARAN AFRICA                 ,3.95,0.769
Libya ,NORTHERN AFRICA                    ,1.03,0.076
Liechtenstein ,WESTERN EUROPE                     ,25.0,0.06
Lithuania ,BALTICS                            ,45.22,0.055
Luxembourg ,WESTERN EUROPE                     ,23.28,0.01
Macau ,ASIA (EX. NEAR EAST)         ,0.0,0.001
Macedonia ,EASTERN EUROPE                     ,22.26,0.118
Madagascar ,SUB-SAHARAN AFRICA                 ,5.07,0.276
Malawi ,SUB-SAHARAN AFRICA                 ,23.38,0.342
Malaysia ,ASIA (EX. NEAR EAST)         ,5.48,0.084
Maldives ,ASIA (EX. NEAR EAST)         ,13.33,0.2
Mali ,SUB-SAHARAN AFRICA                 ,3.82,0.45
Malta ,WESTERN EUROPE                     ,28.13,0.03
Marshall Islands ,OCEANIA                            ,16.67,0.317
Martinique ,LATIN AMER. & CARIB    ,10.38,0.06
Mauritania ,SUB-SAHARAN AFRICA                 ,0.48,0.25
Mauritius ,SUB-SAHARAN AFRICA                 ,49.26,0.059
Mexico ,LATIN AMER. & CARIB    ,12.99,0.038
"Micronesia, Fed. St. ",OCEANIA                            ,5.71,0.289
Moldova ,C.W. OF IND. STATES ,55.3,0.213
Monaco ,WESTERN EUROPE                     ,0.0,0.17
Mongolia ,ASIA (EX. NEAR EAST)         ,0.77,0.206
Morocco ,NORTHERN AFRICA                    ,19.61,0.217
Mozambique ,SUB-SAHARAN AFRICA                 ,5.1,0.262
Namibia ,SUB-SAHARAN AFRICA                 ,0.99,0.097
Nepal ,ASIA (EX. NEAR EAST)         ,21.68,0.38
Netherlands ,WESTERN EUROPE                     ,26.71,0.021
Netherlands Antilles ,LATIN AMER. & CARIB    ,10.0,0.01
New Caledonia ,OCEANIA                            ,0.38,0.15
New Zealand ,OCEANIA                            ,5.6,0.043
Nicaragua ,LATIN AMER. & CARIB    ,15.94,0.165
Niger ,SUB-SAHARAN AFRICA                 ,3.54,0.39
Nigeria ,SUB-SAHARAN AFRICA                 ,31.29,0.269
Norway ,WESTERN EUROPE                     ,2.87,0.021
Oman ,NEAR EAST                          ,0.0,0.027
Pakistan ,ASIA (EX. NEAR EAST)         ,27.87,0.216
Palau ,OCEANIA                            ,8.7,0.062
Panama ,LATIN AMER. & CARIB    ,7.36,0.068
Papua New Guinea ,OCEANIA                            ,0.46,0.353
Paraguay ,LATIN AMER. & CARIB    ,7.6,0.224
Peru ,LATIN AMER. & CARIB    ,2.89,0.08
Philippines ,ASIA (EX. NEAR EAST)         ,18.95,0.144
Poland ,EASTERN EUROPE                     ,45.91,0.05
Portugal ,WESTERN EUROPE                     ,21.75,0.053
Puerto Rico ,LATIN AMER. & CARIB    ,3.95,0.01
Qatar ,NEAR EAST                          ,1.64,0.002
Reunion ,SUB-SAHARAN AFRICA                 ,13.6,0.08
Romania ,EASTERN EUROPE                     ,40.82,0.101
Russia ,C.W. OF IND. STATES ,7.33,0.054
Rwanda ,SUB-SAHARAN AFRICA                 ,40.54,0.401
Saint Kitts & Nevis ,LATIN AMER. & CARIB    ,19.44,0.035
Saint Lucia ,LATIN AMER. & CARIB    ,6.56,0.07
Saint Vincent and the Grenadines ,LATIN AMER. & CARIB    ,17.95,0.1
Samoa ,OCEANIA                            ,21.2,0.114
Sao Tome & Principe ,SUB-SAHARAN AFRICA                 ,6.25,0.167
Saudi Arabia ,NEAR EAST                          ,1.67,0.033
Senegal ,SUB-SAHARAN AFRICA                 ,12.78,0.172
Serbia ,EASTERN EUROPE                     ,33.35,0.166
Seychelles ,SUB-SAHARAN AFRICA                 ,2.22,0.032
Sierra Leone ,SUB-SAHARAN AFRICA                 ,6.98,0.49
Singapore ,ASIA (EX. NEAR EAST)         ,1.64,0.0
Slovakia ,EASTERN EUROPE                     ,30.16,0.035
Slovenia ,EASTERN EUROPE                     ,8.6,0.028
Solomon Islands ,OCEANIA                            ,0.64,0.42
Somalia ,SUB-SAHARAN AFRICA                 ,1.67,0.65
South Africa ,SUB-SAHARAN AFRICA                 ,12.08,0.025
Spain ,WESTERN EUROPE                     ,26.07,0.04
Sri Lanka ,ASIA (EX. NEAR EAST)         ,13.86,0.178
Sudan ,SUB-SAHARAN AFRICA                 ,6.83,0.387
Suriname ,LATIN AMER. & CARIB    ,0.37,0.13
Swaziland ,SUB-SAHARAN AFRICA                 ,10.35,0.119
Sweden ,WESTERN EUROPE                     ,6.54,0.011
Switzerland ,WESTERN EUROPE                     ,10.42,0.015
Syria ,NEAR EAST                          ,25.22,0.249
Taiwan ,ASIA (EX. NEAR EAST)         ,24.0,0.018
Tajikistan ,C.W. OF IND. STATES ,6.61,0.234
Tanzania ,SUB-SAHARAN AFRICA                 ,4.52,0.432
Thailand ,ASIA (EX. NEAR EAST)         ,29.36,0.099
Togo ,SUB-SAHARAN AFRICA                 ,46.15,0.395
Tonga ,OCEANIA                            ,23.61,0.23
Trinidad & Tobago ,LATIN AMER. & CARIB    ,14.62,0.007
Tunisia ,NORTHERN AFRICA                    ,17.86,0.132
Turkey ,NEAR EAST                          ,30.93,0.117
Turkmenistan ,C.W. OF IND. STATES ,3.72,0.209
Tuvalu ,OCEANIA                            ,0.0,0.166
Uganda ,SUB-SAHARAN AFRICA                 ,25.88,0.311
Ukraine ,C.W. OF IND. STATES ,56.21,0.187
United Arab Emirates ,NEAR EAST                          ,0.6,0.04
United Kingdom ,WESTERN EUROPE                     ,23.46,0.005
United States ,NORTHERN AMERICA                   ,19.13,0.01
Uruguay ,LATIN AMER. & CARIB    ,7.43,0.093
Uzbekistan ,C.W. OF IND. STATES ,10.83,0.342
Vanuatu ,OCEANIA                            ,2.46,0.26
Venezuela ,LATIN AMER. & CARIB    ,2.95,0.04
Vietnam ,ASIA (EX. NEAR EAST)         ,19.97,0.209
Virgin Islands ,LATIN AMER. & CARIB    ,11.76,0.01
West Bank ,NEAR EAST                          ,16.9,0.09
Yemen ,NEAR EAST                          ,2.78,0.135
Zambia ,SUB-SAHARAN AFRICA                 ,7.08,0.22
Zimbabwe ,SUB-SAHARAN AFRICA                 ,8.32,0.179
